Days_Left,Task_Type,Estimated_Duration,Deadline_Time,Task_Importance,Past_Completion_Rate,Number_Of_Overdue_Tasks,Priority_Level
6,Student,4,02:01 PM,5,64,2,High
7,Work,1,04:08 AM,5,88,1,Medium
18,Student,3,12:57 AM,3,60,4,Medium
3,Student,4,07:02 AM,3,71,4,High
1,Work,4,04:14 AM,4,79,5,High
1,Student,4,04:45 PM,4,70,0,Medium
11,Work,2,08:37 PM,5,93,0,Medium
16,Work,3,03:44 PM,3,91,3,Medium
27,Personal,4,05:09 AM,3,93,3,Low
24,Personal,3,02:05 PM,5,100,4,Medium
8,Work,3,06:54 PM,2,53,0,Medium
27,Student,2,05:51 AM,2,58,1,Low
20,Student,2,08:34 AM,4,77,3,Medium
6,Personal,4,02:35 PM,5,57,2,High
13,Student,1,10:56 PM,4,99,3,Medium
1,Student,2,04:45 AM,2,53,5,High
28,Work,3,11:14 PM,2,75,3,Low
1,Work,2,04:55 AM,4,63,5,High
22,Personal,4,05:29 PM,1,89,4,Low
15,Work,1,06:22 AM,2,96,4,Medium
23,Student,2,05:44 AM,1,94,0,Low
28,Student,3,11:10 AM,5,50,0,Low
6,Work,1,08:24 PM,1,93,2,Medium
18,Student,1,12:35 AM,3,84,0,Low
26,Student,1,06:53 AM,2,88,1,Low
8,Work,4,01:51 PM,1,57,3,Medium
1,Personal,1,05:04 AM,5,84,3,High
7,Student,2,12:20 AM,3,84,0,Medium
2,Student,1,08:25 PM,3,50,4,High
25,Work,3,05:08 AM,3,58,1,Low
9,Student,4,09:34 PM,5,100,0,Medium
19,Student,1,10:27 PM,4,79,4,Medium
22,Personal,3,04:08 PM,5,64,2,Medium
28,Work,4,01:55 AM,5,81,2,Medium
18,Work,2,11:10 PM,4,51,1,Medium
12,Student,2,02:24 PM,1,55,3,Medium
27,Student,4,08:33 PM,4,69,5,Medium
29,Student,3,01:43 AM,2,77,0,Low
6,Student,2,09:48 PM,1,50,0,Medium
26,Student,2,06:07 PM,1,62,0,Low
2,Personal,3,03:29 AM,3,58,5,High
4,Student,1,12:16 AM,3,91,3,Medium
23,Student,3,02:55 PM,3,81,0,Low
19,Student,1,09:38 AM,1,61,5,Medium
6,Work,2,06:48 AM,3,98,4,Medium
16,Student,4,09:58 AM,1,98,1,Low
1,Student,4,06:31 AM,5,81,0,High
0,Work,3,06:56 PM,2,93,1,Medium
5,Work,4,01:15 AM,4,60,2,Medium
16,Work,3,12:31 AM,5,83,5,High
21,Student,3,03:08 PM,1,58,3,Low
26,Student,2,03:16 PM,5,52,3,Medium
27,Work,3,09:48 AM,4,68,1,Low
2,Student,3,05:25 PM,3,69,3,High
8,Personal,1,09:28 AM,2,89,0,Medium
10,Work,4,04:04 PM,1,74,1,Low
22,Work,3,10:35 AM,2,84,3,Low
15,Student,2,04:00 AM,1,98,1,Low
0,Student,4,11:03 AM,4,54,4,High
26,Work,3,01:55 PM,1,90,2,Low
18,Work,4,09:15 PM,3,69,5,Medium
23,Student,1,08:13 AM,4,60,0,Low
7,Student,4,10:36 PM,4,84,5,High
24,Work,3,08:51 PM,1,78,1,Low
13,Work,2,02:06 PM,2,84,4,Medium
8,Personal,4,07:26 PM,1,53,0,Medium
13,Student,1,01:43 AM,4,57,2,Medium
16,Work,4,07:46 PM,1,97,3,Low
26,Work,3,04:12 AM,5,100,5,Medium
7,Student,3,08:08 PM,3,83,4,Medium
29,Work,1,05:29 AM,4,96,0,Low
4,Work,4,08:51 AM,5,97,2,High
3,Work,3,11:34 AM,1,66,3,Medium
27,Work,2,04:10 PM,5,95,4,Medium
5,Personal,3,08:13 PM,4,90,4,High
23,Work,1,03:24 AM,1,95,4,Low
30,Personal,3,05:59 PM,4,82,3,Low
30,Personal,1,07:44 PM,5,81,0,Low
2,Work,4,04:18 AM,2,74,1,Medium
30,Work,2,10:47 AM,2,52,5,Low
23,Student,2,06:03 AM,2,76,1,Low
1,Student,2,08:32 AM,1,89,0,Medium
8,Work,3,09:05 AM,5,91,1,Medium
2,Work,2,10:04 AM,1,73,4,Medium
27,Personal,2,02:56 AM,1,85,4,Low
19,Student,1,10:02 AM,4,100,3,Medium
1,Personal,2,11:37 PM,3,74,1,Medium
30,Personal,2,04:42 PM,5,71,1,Low
25,Work,2,05:25 AM,1,91,5,Low
14,Student,2,11:19 PM,3,86,0,Medium
7,Personal,1,02:00 PM,4,93,3,Medium
4,Student,3,10:06 AM,4,55,4,High
19,Student,2,04:32 PM,3,89,3,Medium
15,Work,1,06:56 AM,2,91,5,Medium
18,Work,1,06:18 AM,3,77,1,Medium
22,Personal,2,09:45 PM,5,75,4,Medium
29,Student,3,11:33 AM,1,61,4,Low
0,Student,2,09:19 AM,2,50,1,Medium
29,Work,2,05:07 AM,1,89,4,Low
20,Student,1,09:09 PM,5,88,4,Medium
21,Personal,1,10:13 PM,3,61,1,Low
15,Work,3,11:40 PM,5,71,0,Medium
28,Student,2,08:16 AM,4,54,0,Low
29,Work,2,11:27 PM,4,54,3,Medium
15,Work,2,01:21 AM,2,97,4,Medium
6,Student,4,05:10 PM,1,79,4,Medium
22,Student,2,12:27 AM,2,54,3,Low
1,Work,4,02:56 AM,2,68,1,Medium
0,Student,4,01:53 PM,5,94,3,High
15,Student,4,09:09 PM,2,98,3,Medium
26,Work,4,01:19 PM,4,99,2,Low
27,Work,1,06:13 AM,1,100,2,Low
4,Student,4,02:22 PM,3,50,0,Medium
7,Student,2,12:09 AM,3,93,4,Medium
12,Work,4,03:56 PM,2,100,1,Medium
2,Work,3,03:47 PM,1,75,4,Medium
25,Personal,2,11:55 AM,2,83,2,Low
8,Personal,3,03:50 AM,4,99,4,Medium
10,Personal,1,01:54 PM,4,74,4,Medium
28,Work,1,04:52 PM,4,59,4,Medium
8,Personal,4,05:52 AM,3,98,2,Medium
15,Work,4,01:42 AM,2,98,5,Medium
4,Personal,4,06:17 AM,1,62,0,Medium
2,Personal,1,06:41 PM,1,98,5,Medium
19,Student,4,09:21 AM,1,71,4,Low
26,Work,3,05:11 PM,1,85,3,Low
28,Work,1,02:38 PM,3,61,0,Low
6,Personal,4,12:50 PM,4,68,1,Medium
14,Personal,4,10:32 AM,5,54,2,Medium
11,Personal,1,10:12 PM,4,70,3,Medium
20,Work,3,12:27 AM,1,88,4,Low
20,Student,2,09:43 AM,2,88,5,Medium
30,Personal,2,07:04 PM,5,84,4,Medium
10,Student,3,06:42 AM,2,96,3,Medium
8,Student,2,05:32 PM,2,93,0,Medium
28,Student,2,07:20 PM,5,89,1,Low
8,Student,2,05:35 AM,3,51,4,Medium
28,Work,1,07:42 PM,3,57,4,Medium
0,Student,2,12:57 AM,4,66,0,Medium
12,Student,4,10:19 PM,4,55,3,Medium
30,Student,3,01:19 PM,5,93,5,Medium
6,Work,3,07:50 PM,2,75,2,Medium
6,Personal,2,08:28 AM,3,94,4,Medium
17,Student,4,08:50 AM,2,69,3,Medium
7,Student,1,02:18 PM,1,88,0,Low
2,Work,1,04:43 PM,4,98,0,Medium
23,Work,1,04:09 AM,5,55,1,Medium
11,Work,1,04:30 AM,5,96,4,High
15,Personal,2,07:56 AM,5,60,3,Medium
4,Student,4,12:24 PM,3,68,3,Medium
24,Personal,2,04:09 AM,1,98,5,Low
14,Work,3,07:14 AM,1,52,0,Low
10,Student,4,09:29 AM,2,81,5,Medium
11,Student,4,04:58 AM,4,57,1,Medium
27,Personal,4,03:51 PM,2,57,1,Low
27,Student,2,09:35 PM,4,77,4,Medium
8,Personal,4,10:52 PM,3,66,0,Medium
0,Student,1,08:57 AM,4,62,3,High
15,Student,1,08:28 PM,5,95,2,Medium
28,Work,2,11:17 PM,2,100,4,Low
14,Student,1,04:17 PM,2,59,5,Medium
17,Work,3,12:18 AM,5,54,0,Medium
21,Personal,1,06:20 AM,2,81,0,Low
10,Work,1,03:14 PM,2,74,5,Medium
26,Student,3,03:45 AM,1,62,0,Low
1,Work,1,07:26 PM,3,50,4,High
15,Student,3,08:26 AM,4,66,4,Medium
30,Work,1,07:24 AM,3,72,4,Low
20,Student,1,07:30 AM,2,59,2,Low
16,Personal,1,05:48 PM,1,95,0,Low
18,Personal,1,09:47 AM,5,53,5,High
0,Personal,1,04:17 PM,2,77,1,Medium
25,Personal,2,01:24 PM,3,99,3,Low
0,Student,2,11:51 PM,4,54,5,High
29,Student,3,03:53 PM,1,66,4,Low
20,Work,2,10:34 AM,2,60,2,Low
6,Personal,2,10:36 AM,4,83,5,High
17,Work,2,11:27 AM,2,79,2,Low
18,Personal,3,03:03 PM,2,87,0,Low
23,Personal,3,06:13 PM,4,79,1,Low
18,Personal,1,06:48 PM,5,78,3,Medium
9,Personal,4,07:16 AM,1,59,0,Low
27,Personal,4,01:47 AM,5,83,5,Medium
20,Personal,2,04:41 AM,5,92,2,Medium
15,Student,3,01:48 AM,3,96,0,Low
22,Work,3,04:53 AM,3,65,3,Medium
7,Student,4,03:15 AM,1,52,2,Medium
26,Personal,1,11:07 AM,2,100,2,Low
20,Personal,1,12:16 PM,2,77,1,Low
28,Work,2,10:38 AM,5,55,0,Low
4,Work,1,05:06 AM,4,75,5,High
1,Personal,1,10:43 PM,2,94,2,Medium
8,Personal,2,12:12 AM,1,96,0,Low
21,Student,3,12:53 AM,3,97,4,Medium
16,Work,2,12:49 PM,4,50,0,Medium
2,Student,1,10:51 AM,4,64,5,High
13,Student,2,01:22 PM,4,72,5,Medium
23,Student,2,06:04 PM,5,75,5,Medium
26,Work,4,07:52 PM,3,56,2,Low
14,Work,3,07:23 PM,3,96,3,Medium
12,Student,2,03:27 AM,2,87,2,Medium
18,Student,3,09:41 PM,1,86,3,Low
9,Student,3,09:49 PM,1,66,5,Medium
25,Personal,2,07:52 PM,4,74,0,Low
12,Personal,4,04:53 AM,1,53,1,Low
2,Personal,1,08:15 PM,5,67,3,High
14,Student,2,10:42 PM,2,96,0,Low
11,Personal,3,01:31 PM,2,90,4,Medium
5,Work,4,08:13 PM,2,83,2,Medium
23,Personal,3,06:17 PM,5,55,4,Medium
24,Student,1,01:33 AM,5,71,4,Medium
5,Work,2,04:46 PM,4,79,2,Medium
29,Personal,2,09:48 AM,1,52,2,Low
30,Student,4,08:41 PM,5,85,5,Medium
1,Personal,4,01:05 PM,4,60,3,High
14,Work,2,07:44 AM,1,79,5,Medium
18,Personal,2,11:37 PM,1,51,2,Low
7,Personal,2,09:33 PM,3,94,3,Medium
4,Personal,2,12:35 PM,2,53,2,Medium
19,Personal,1,12:29 PM,4,98,3,Medium
14,Personal,1,05:14 AM,2,63,5,Medium
4,Student,2,04:20 AM,3,85,4,High
10,Student,3,09:48 AM,1,55,1,Medium
23,Work,2,04:47 PM,5,72,1,Medium
11,Personal,2,12:37 PM,5,89,1,Medium
19,Work,1,04:18 AM,5,58,0,Medium
8,Personal,3,03:19 AM,3,79,0,Medium
4,Student,2,09:08 PM,4,93,1,Medium
13,Work,1,01:35 PM,3,58,1,Medium
11,Student,3,03:40 PM,3,50,5,Medium
27,Work,4,01:36 PM,5,57,2,Medium
8,Personal,1,08:28 PM,4,79,2,Medium
20,Work,1,01:16 PM,5,68,2,Medium
13,Work,2,02:25 PM,4,74,4,Medium
9,Work,1,10:40 AM,2,89,5,Medium
18,Work,1,03:51 PM,1,72,0,Low
24,Work,1,04:07 PM,1,96,1,Low
13,Student,1,10:50 AM,3,88,2,Medium
5,Student,2,07:28 PM,3,56,2,Medium
7,Personal,2,10:27 PM,4,64,4,High
0,Student,4,10:03 AM,3,85,4,High
5,Work,1,11:13 PM,1,86,2,Medium
